file,area,brightness,centroid_x,centroid_y
nasa_0.png,1.0,129,482.0,115.0
nasa_0.png,9.0,1165,500.0,115.0
nasa_0.png,1.0,131,506.0,115.0
nasa_0.png,1.0,130,511.0,115.0
nasa_0.png,2.0,259,530.5,115.0
nasa_0.png,1.0,129,561.0,115.0
nasa_0.png,1.0,129,315.0,117.0
nasa_0.png,4.0,519,352.5,117.5
nasa_0.png,3.0,390,377.6666666666667,117.33333333333333
nasa_0.png,37.0,4815,394.7837837837838,117.27027027027027
nasa_0.png,2.0,262,414.5,117.0
nasa_0.png,1.0,130,417.0,117.0
nasa_0.png,1.0,130,422.0,117.0
nasa_0.png,16.0,2079,431.5,117.0
nasa_0.png,4.0,518,450.5,117.0
nasa_0.png,1.0,129,454.0,117.0
nasa_0.png,1.0,129,456.0,117.0
nasa_0.png,1.0,129,458.0,117.0
nasa_0.png,6.0,775,462.5,117.0
nasa_0.png,1.0,129,474.0,117.0
nasa_0.png,1.0,129,482.0,117.0
nasa_0.png,1.0,130,506.0,117.0
nasa_0.png,1.0,131,537.0,117.0
nasa_0.png,1.0,129,539.0,117.0
nasa_0.png,3.0,390,587.0,117.0
nasa_0.png,132.0,19881,16.931818181818183,123.02272727272727
nasa_0.png,898.0,134009,93.50222717149221,123.11581291759465
nasa_0.png,545.0,80854,208.251376146789,123.46788990825688
nasa_0.png,744.0,108308,317.5,123.5
nasa_0.png,20.0,2796,383.2,123.7
nasa_0.png,207.0,29509,403.7536231884058,123.4927536231884
nasa_0.png,138.0,19565,434.0,123.5
nasa_0.png,52.0,7340,451.15384615384613,123.51923076923077
nasa_0.png,184.0,25979,472.1630434782609,123.5054347826087
nasa_0.png,29.0,4019,491.0689655172414,123.55172413793103
nasa_0.png,90.0,12555,503.0,123.5
nasa_0.png,96.0,13371,519.5,123.5
nasa_0.png,165.0,22984,542.6363636363636,123.49090909090908
nasa_0.png,192.0,26552,573.5,123.5
nasa_0.png,245.0,40836,25.0,131.0
nasa_0.png,70.0,11285,48.5,131.0
nasa_0.png,146.0,23914,64.93150684931507,131.0205479452055
nasa_0.png,1066.0,173313,152.87429643527204,131.00562851782365
nasa_0.png,320.0,51070,254.44375,131.01875
nasa_0.png,28.0,4376,281.5,131.0
nasa_0.png,323.0,51094,308.42724458204333,131.00928792569658
nasa_0.png,197.0,31069,347.4263959390863,131.01522842639594
nasa_0.png,217.0,34092,379.0,131.0
nasa_0.png,97.0,15099,404.5670103092784,131.03092783505156
nasa_0.png,140.0,21688,423.5,131.0
nasa_0.png,195.0,30128,449.4307692307692,131.01538461538462
nasa_0.png,874.0,134075,526.9313501144164,131.00343249427917
nasa_0.png,686.0,123667,56.5,139.0
nasa_0.png,1233.0,218849,195.22384428223845,139.00243309002434
nasa_0.png,1899.0,326951,421.2006319115324,139.00368615060557
nasa_0.png,217.0,36206,574.0,139.0
nasa_0.png,154.0,30228,18.5,147.0
nasa_0.png,1836.0,353798,161.79302832244008,146.99945533769062
nasa_0.png,167.0,29305,313.5688622754491,146.98203592814372
nasa_0.png,187.0,33855,339.86096256684493,146.97860962566844
nasa_0.png,1211.0,222917,445.0,147.0
