tile_index,type,area,brightness_sum,max_pixel,centroid_y,centroid_x
3,star,6.0,1762.2596435546875,211.2375946044922,101.0,1747.5
3,comet,295.5,50916.5546875,243.19129943847656,93.56401579244218,1247.2707275803723
3,planet,41.0,9152.0048828125,254.97450256347656,38.86178861788618,1305.121951219512
3,star,18.0,2942.7919921875,139.06080627441406,2.388888888888889,1510.0555555555557
3,comet,195.5,29631.767578125,227.26199340820312,8.454390451832907,1499.935208866155
4,comet,56.5,10291.8583984375,187.58489990234375,617.6194690265487,2465.6578171091446
4,star,11.5,3132.10302734375,242.2729949951172,601.5507246376811,1882.072463768116
4,galaxy,962.0,184216.109375,254.97450256347656,584.6526334026333,2074.9379764379764
4,star,6.0,1743.4759521484375,215.42950439453125,563.0,2026.5
4,comet,58.5,10805.7080078125,249.33859252929688,548.8062678062678,2439.8603988603986
4,star,8.5,2587.237548828125,249.05050659179688,545.5686274509803,1880.5686274509803
4,planet,21.5,4685.65185546875,235.7404022216797,527.9689922480619,2312.84496124031
4,star,14.5,3658.381103515625,238.77870178222656,496.4597701149425,1968.4252873563219
4,star,6.0,1792.058349609375,207.84300231933594,478.5,2464.0
4,comet,76.5,14821.78125,250.5666046142578,483.6383442265795,2178.6862745098038
4,planet,24.5,4576.0009765625,194.0355987548828,464.56462585034006,2422.503401360544
4,star,8.5,2382.9306640625,243.40379333496094,448.56862745098033,2160.5686274509803
4,star,6.0,1843.084716796875,220.88180541992188,372.0,2449.5
4,planet,28.0,5782.00390625,240.81089782714844,369.67857142857144,2423.107142857143
4,star,11.5,2476.528564453125,191.78289794921875,359.4492753623188,2114.072463768116
4,planet,41.5,8100.02734375,206.8975067138672,357.4096385542169,2244.3212851405624
4,comet,63.5,10291.697265625,205.24620056152344,355.92388451443566,2290.8923884514434
4,star,18.5,4698.24560546875,251.4093017578125,344.55855855855856,2224.045045045045
4,star,13.5,3194.145751953125,233.08270263671875,344.04938271604937,2183.135802469136
4,comet,85.5,12577.89453125,200.01629638671875,338.26120857699806,2116.315789473684
4,comet,54.5,9807.23828125,218.9425048828125,316.43730886850153,2340.4862385321103
4,star,12.0,3265.76953125,229.33740234375,312.0,2372.5
4,star,6.0,1449.9969482421875,154.90089416503906,284.5,1977.0
4,planet,23.0,5672.99267578125,237.3105010986328,282.4347826086956,1885.2826086956522
4,star,11.0,2789.385009765625,208.55479431152344,279.54545454545456,2364.409090909091
4,star,18.5,3957.11083984375,228.59649658203125,265.9549549549549,2232.4414414414414
4,planet,47.0,7373.9833984375,161.135498046875,256.73758865248226,2023.854609929078
4,star,8.5,2464.345703125,234.25669860839844,243.56862745098036,2401.4313725490197
4,planet,32.0,7066.20166015625,247.81979370117188,236.4375,1908.578125
4,galaxy,387.5,63029.2109375,236.8867950439453,227.28817204301072,1917.8632258064515
4,planet,22.5,5005.076171875,240.20230102539062,212.1185185185185,2198.237037037037
4,star,17.0,4124.6943359375,244.93069458007812,211.5,1990.0
4,star,6.0,1864.058837890625,225.44090270996094,200.0,2242.5
4,planet,21.0,3956.968994140625,226.93539428710938,169.52380952380952,2474.5238095238096
4,comet,116.5,16391.4453125,188.36839294433594,165.96280400572243,2451.247496423462
4,planet,25.0,4437.25634765625,182.92430114746094,143.02,2310.96
4,planet,21.5,4799.3681640625,236.0825958251953,137.44961240310076,2406.5503875968993
4,comet,73.0,14271.26953125,249.66990661621094,137.97260273972603,2139.9086757990867
4,planet,27.5,6614.9931640625,254.97450256347656,124.46060606060605,2040.351515151515
4,star,19.0,4596.1279296875,254.97450256347656,122.07017543859648,2301.6315789473683
4,planet,42.0,7051.68896484375,195.5821990966797,112.79761904761905,2312.5873015873017
4,comet,77.5,14841.55078125,254.97450256347656,113.11182795698925,2108.0989247311827
4,star,14.0,2571.9501953125,186.55690002441406,104.07142857142857,2409.107142857143
4,star,8.0,1465.0526123046875,127.98210144042969,80.5,2292.5
4,star,12.0,2978.70361328125,224.9156036376953,71.5,2182.0
4,comet,53.0,10915.4140625,250.24609375,65.84905660377359,2171.254716981132
4,galaxy,570.0,77854.9375,231.06149291992188,77.75,2428.6985380116957
4,star,6.0,1096.537841796875,102.8644027709961,46.0,2226.5
4,star,9.0,1888.6455078125,152.83909606933594,36.5,2122.0
4,comet,56.0,11078.15234375,247.57760620117188,26.76190476190476,2185.0803571428573
4,planet,39.5,9081.140625,252.61570739746094,21.68776371308017,2385.295358649789
4,galaxy,1814.0,309351.46875,254.97450256347656,48.99182285924292,2267.1498529952223
4,star,8.0,1980.418701171875,203.44180297851562,6.5,1902.5
4,comet,95.0,16862.560546875,245.50689697265625,3.908771929824561,2412.057894736842
6,galaxy,565.0,100847.75,254.97450256347656,1207.9286135693214,274.78082595870205
